web-scraper-order,web-scraper-start-url,Detail,Detail-href,Name,Image-src,Category,Ig_Follow,eng_rate,est_Reel_play,Avg_like,Avg_Comments,yt_subs,views(30 days),total_views,uplaods,yt_links,yt_links-href,insta_link,insta_link-href
"1708342379-35","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/kumaon_regiment/IA_86065?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","🇰 🇺 🇲 🇦 🇴​ 🇳  🇷 🇪 🇬 🇮 🇲 🇪 🇳 🇹","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/10750604249.jpg","Defence","6,178","4.92%","2,478","300","3","","","","","","","","https://www.instagram.com/kumaon_regiment"
"1708342386-36","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/befojji/IA_89174?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","BE FOJJI ORGANISATION TRUST","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4269684048.jpg","Defence","6,565","4.80%","11,281","310","4","","","","","","","","https://www.instagram.com/befojji"
"1708342394-37","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/anujaggi173/IA_92250?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Anu Bakshi","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1407578857.jpg","Defence","6,698","10.51%","4,199","694","9","","","","","","","","https://www.instagram.com/anujaggi173"
"1708342401-38","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/uday_foji/IA_107919?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","uplabdhi_physical_academy","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/38923745456.jpg","Defence","6,758","3.29%","2,985","216","6","","","","","","","","https://www.instagram.com/uday_foji"
"1708342409-39","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/balidanyt_official/IA_124524?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","B A L I D A N YT","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/51343455770.jpg","Defence","6,785","41.72%","22,981","2,807","23","","","","","","","","https://www.instagram.com/balidanyt_official"
"1708342416-40","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/sabarkantha_police/IA_99344?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Sabarkantha Police","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/21688506573.jpg","Defence","6,900","1.14%","3,444","78","NaN","","","","","","","","https://www.instagram.com/sabarkantha_police"
"1708342421-41","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/kapoor.ashim/IA_89616?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Wg Cdr Ashim Kapoor","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/15610713687.jpg","Defence","7,656","6.67%","2,438","506","2","","","","","","","","https://www.instagram.com/kapoor.ashim"
"1708342428-42","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/virufouji/IA_80259?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Viru Fouji Defence Academy Jaipur","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4976132349.jpg","Defence","8,216","2.16%","2,228","175","1","880,000","176,110","109,140,663","1,507","","https://www.youtube.com/channel/UCx5C84aC_hlTiDXhZL5f2RA","","https://www.instagram.com/virufouji"
"1708342434-43","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/wingstowheels/IA_98235?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Rakesh Singh Chauhan","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/37491521701.jpg","Defence","8,243","1.92%","5,367","157","1","","","","","","","","https://www.instagram.com/wingstowheels"
"1708342441-44","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/guardingindia/IA_78659?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Guarding India","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7899000497.jpg","Defence","8,281","9.95%","3,946","822","1","","","","","","","","https://www.instagram.com/guardingindia"
"1708342447-45","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/phukanrupjyoti/IA_87078?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Rupjyoti Phukan","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1735812585.jpg","Defence","8,452","6.00%","9,923","498","8","","","","","","","","https://www.instagram.com/phukanrupjyoti"
"1708342454-46","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/lca_tejas_/IA_77263?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","LCA Tejas Fanpage","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/41059807302.jpg","Defence","8,937","0.92%","13,336","81","1","","","","","","","","https://www.instagram.com/lca_tejas_"
"1708342461-47","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/indiandefencereforms/IA_76263?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Indian Defence Reforms","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/13339643867.jpg","Defence","8,969","2.63%","76","234","1","12,200","321","940,707","32","","https://www.youtube.com/channel/UC3vh9o0SOt8hDHyE3Lm10Pw","","https://www.instagram.com/indiandefencereforms"
"1708342468-48","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/motivationalworld841/IA_68810?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","𝐌𝐨𝐭𝐢𝐯𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐖𝐨𝐫𝐥𝐝","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7508932947.jpg","Defence","9,570","1.23%","13,740","116","1","","","","","","","","https://www.instagram.com/motivationalworld841"
"1708342483-49","https://goodcreator.co/instagram-influencers/it-ites/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/akashsirdotcom/IA_1716267?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Akash Padhiyar (AkashSir.com)","","IT & ITES","3,168","6.06%","3,441","191","0","14,700","12,242","1,579,298","494","","https://www.youtube.com/channel/UCZZcZpfPo1NkU74jc8dHO_A","","https://www.instagram.com/akashsirdotcom"
"1708342491-50","https://goodcreator.co/instagram-influencers/it-ites/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/rebellionrider/IA_1716254?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Manish | Sql & Database Developer","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/33796626.jpg","IT & ITES","3,246","0.86%","756","26","1","103,000","181,717","20,666,423","374","","https://www.youtube.com/channel/UCQYO2p7JMcCp-9xIZxGP2Sg","","https://www.instagram.com/rebellionrider"
